직원번호,이직여부,나이,성별,결혼상태,집까지거리,교육수준,전공분야,부서,직급,직무,최근승진후경과연수,총근속연수,회사근속연수,현재직무근속연수,현재상사와근속연수,이전근무회사수,월급,급여인상률,스톡옵션수준,성과평가,연간교육횟수,업무몰입도,야근여부,출장빈도,직무만족도,근무환경만족도,인간관계만족도,워라밸만족도
36,No,44,Female,Married,7,4,Medical,Research & Development,3,Healthcare Representative,5,24,22,6,17,3,10248,14,1,3,4,2,No,Travel_Rarely,4,1,4,3
38,No,46,Female,Single,2,4,Marketing,Sales,5,Manager,2,22,2,2,1,3,18947,12,0,3,2,3,No,Travel_Rarely,1,2,4,2
39,No,33,Male,Single,2,3,Medical,Research & Development,1,Laboratory Technician,0,7,1,1,0,4,2496,11,0,3,3,3,No,Travel_Rarely,4,3,4,3
40,No,44,Male,Married,10,4,Other,Research & Development,2,Healthcare Representative,1,9,4,2,3,2,6465,13,0,3,5,3,Yes,Travel_Rarely,4,4,4,4
41,No,30,Male,Single,9,2,Medical,Research & Development,1,Laboratory Technician,1,10,10,0,8,1,2206,13,0,3,5,2,No,Travel_Rarely,3,4,1,3
42,Yes,39,Male,Married,5,3,Technical Degree,Sales,2,Sales Representative,0,19,1,0,0,3,2086,14,1,3,6,3,No,Travel_Rarely,4,4,3,4
45,Yes,24,Male,Married,1,3,Medical,Research & Development,1,Research Scientist,2,6,2,0,0,2,2293,16,1,3,2,3,Yes,Travel_Rarely,4,2,1,2
46,No,43,Female,Divorced,2,2,Medical,Research & Development,1,Research Scientist,1,6,5,3,4,1,2645,12,2,3,3,4,No,Travel_Rarely,3,4,4,2
47,Yes,50,Male,Married,3,2,Marketing,Sales,1,Sales Representative,0,3,3,2,2,1,2683,14,0,3,2,2,Yes,Travel_Rarely,3,1,3,3
49,No,35,Female,Married,2,3,Marketing,Sales,1,Sales Representative,2,2,2,2,2,1,2014,13,0,3,3,3,No,Travel_Rarely,4,4,1,3
51,No,36,Female,Married,5,4,Life Sciences,Research & Development,1,Research Scientist,0,6,1,1,0,9,3419,14,1,3,3,2,Yes,Travel_Rarely,1,2,4,4
52,No,33,Female,Married,1,3,Life Sciences,Sales,2,Sales Executive,1,10,5,3,3,2,5376,19,2,3,3,4,No,Travel_Frequently,1,3,1,3
53,No,35,Male,Divorced,4,2,Other,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,1951,12,1,3,3,3,No,Travel_Rarely,4,3,3,3
54,No,27,Female,Divorced,2,4,Life Sciences,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,2341,13,1,3,6,3,No,Travel_Rarely,1,4,4,3
55,Yes,26,Male,Single,25,3,Life Sciences,Research & Development,1,Laboratory Technician,0,1,1,0,1,1,2293,12,0,3,2,1,No,Travel_Rarely,3,1,3,2
56,No,27,Male,Single,8,3,Life Sciences,Sales,3,Sales Executive,1,9,9,8,7,1,8726,15,0,3,0,3,No,Travel_Frequently,3,4,4,3
57,No,30,Female,Single,1,2,Medical,Research & Development,2,Laboratory Technician,3,12,12,8,7,1,4011,23,0,4,2,3,No,Travel_Frequently,4,3,4,3
58,Yes,41,Female,Married,12,3,Technical Degree,Research & Development,5,Research Director,15,23,22,15,8,1,19545,12,0,3,0,3,No,Travel_Rarely,3,2,4,3
60,No,34,Male,Single,23,4,Marketing,Sales,2,Sales Executive,8,10,9,5,7,0,4568,20,0,4,2,3,No,Non-Travel,3,2,3,3
61,No,37,Male,Married,19,2,Life Sciences,Research & Development,1,Research Scientist,0,8,1,0,0,4,3022,21,0,4,1,3,No,Travel_Rarely,2,2,1,3
62,No,46,Male,Single,5,4,Marketing,Sales,2,Sales Executive,0,14,9,6,8,4,5772,21,0,4,4,3,Yes,Travel_Frequently,4,1,3,3
63,No,35,Male,Married,8,1,Life Sciences,Research & Development,1,Laboratory Technician,0,1,1,0,1,1,2269,19,0,3,2,4,No,Travel_Rarely,4,4,4,3
64,Yes,48,Male,Single,1,2,Life Sciences,Research & Development,3,Laboratory Technician,0,23,1,0,0,9,5381,13,0,3,2,2,Yes,Travel_Rarely,3,1,4,3
65,Yes,28,Male,Single,5,4,Technical Degree,Research & Development,1,Laboratory Technician,2,2,2,2,2,1,3441,13,0,3,3,3,Yes,Travel_Rarely,3,3,3,2
68,No,44,Female,Divorced,1,5,Marketing,Sales,2,Sales Executive,1,9,4,3,3,5,5454,21,1,4,2,3,Yes,Travel_Rarely,1,2,3,2
70,No,35,Male,Married,11,2,Medical,Research & Development,3,Healthcare Representative,2,10,4,0,3,2,9884,13,1,3,3,2,Yes,Non-Travel,1,3,3,3
72,No,26,Female,Married,23,3,Marketing,Sales,2,Sales Executive,0,5,2,2,0,7,4157,19,1,3,2,2,Yes,Travel_Rarely,4,3,3,2
73,No,33,Female,Single,1,2,Life Sciences,Research & Development,3,Research Director,8,15,15,14,12,1,13458,12,0,3,1,3,Yes,Travel_Frequently,4,1,3,3
74,No,35,Male,Married,18,5,Life Sciences,Sales,3,Sales Executive,1,9,9,8,8,1,9069,22,1,4,3,3,No,Travel_Frequently,1,2,4,2
75,No,35,Female,Married,23,4,Medical,Research & Development,1,Laboratory Technician,2,4,2,2,2,3,4014,15,1,3,3,3,Yes,Travel_Rarely,1,3,3,3
76,No,31,Male,Divorced,7,4,Life Sciences,Research & Development,2,Laboratory Technician,1,10,7,7,7,3,5915,22,1,4,3,3,No,Travel_Rarely,4,4,4,2
77,No,37,Male,Divorced,1,4,Life Sciences,Research & Development,2,Manufacturing Director,0,7,7,5,7,1,5993,18,1,3,2,2,No,Travel_Rarely,3,1,3,4
78,No,32,Male,Married,1,3,Medical,Research & Development,2,Manufacturing Director,7,9,9,8,8,1,6162,22,1,4,3,3,Yes,Travel_Rarely,4,1,2,3
79,No,38,Female,Single,29,5,Life Sciences,Research & Development,2,Laboratory Technician,9,10,10,3,9,1,2406,11,0,3,2,3,No,Travel_Frequently,4,4,4,3
80,No,50,Female,Divorced,7,2,Medical,Research & Development,5,Research Director,13,29,27,3,8,5,18740,12,1,3,2,2,Yes,Travel_Rarely,3,2,4,2
81,No,59,Female,Single,25,3,Life Sciences,Sales,3,Sales Executive,7,28,21,16,9,7,7637,11,0,3,3,3,No,Travel_Rarely,1,1,4,2
83,No,36,Female,Divorced,8,3,Technical Degree,Research & Development,3,Healthcare Representative,12,17,17,14,8,1,10096,13,3,3,2,3,No,Travel_Rarely,3,3,2,3
84,No,55,Female,Divorced,8,3,Medical,Research & Development,4,Manager,0,21,5,0,2,2,14756,14,3,3,2,3,Yes,Travel_Rarely,3,4,3,3
85,No,36,Male,Single,11,3,Life Sciences,Research & Development,2,Manufacturing Director,0,6,6,5,3,1,6499,13,0,3,3,2,No,Travel_Frequently,2,2,3,3
86,No,45,Male,Divorced,7,3,Life Sciences,Research & Development,3,Research Scientist,0,25,1,0,0,2,9724,17,1,3,2,3,No,Travel_Rarely,1,2,3,3
88,No,35,Male,Married,1,3,Medical,Research & Development,1,Research Scientist,1,5,3,2,2,4,2194,13,1,3,2,3,No,Travel_Frequently,1,2,4,2
90,Yes,36,Male,Married,9,3,Medical,Research & Development,1,Research Scientist,0,2,1,0,0,0,3388,17,1,3,0,2,Yes,Travel_Rarely,3,4,1,2
91,No,59,Female,Single,1,1,Life Sciences,Sales,2,Sales Executive,1,20,4,3,3,7,5473,11,0,3,2,2,No,Travel_Frequently,3,1,4,2
94,No,29,Male,Married,2,3,Life Sciences,Research & Development,1,Research Scientist,0,6,5,4,4,0,2703,23,1,4,3,3,No,Travel_Rarely,2,3,4,3
95,No,31,Male,Single,1,4,Medical,Research & Development,1,Research Scientist,1,1,1,1,0,1,2501,17,0,3,4,3,No,Travel_Rarely,2,3,2,3
96,No,32,Male,Married,1,3,Life Sciences,Research & Development,2,Research Scientist,0,10,10,4,9,1,6220,17,2,3,3,3,No,Travel_Rarely,2,2,2,3
97,No,36,Female,Married,6,3,Life Sciences,Research & Development,1,Laboratory Technician,0,5,1,0,0,3,3038,12,0,3,3,4,No,Travel_Rarely,4,2,2,3
98,No,31,Female,Single,8,4,Life Sciences,Research & Development,2,Manufacturing Director,1,11,11,7,8,1,4424,23,0,4,2,3,No,Travel_Rarely,4,3,4,3
100,No,35,Male,Single,1,4,Marketing,Sales,2,Sales Executive,2,16,15,13,8,0,4312,14,0,3,2,2,No,Travel_Rarely,1,3,2,3
101,No,45,Male,Married,6,4,Other,Research & Development,3,Research Director,0,17,0,0,0,4,13245,14,0,3,3,3,Yes,Travel_Rarely,1,4,2,4
102,No,37,Male,Single,7,4,Medical,Research & Development,3,Research Director,0,16,5,2,2,4,13664,13,0,3,3,3,No,Travel_Rarely,3,1,1,4
103,No,46,Male,Divorced,5,2,Medical,Human Resources,2,Human Resources,0,16,4,2,2,8,5021,22,1,4,2,3,Yes,Travel_Rarely,2,2,4,3
104,No,30,Male,Married,1,1,Life Sciences,Research & Development,2,Laboratory Technician,3,10,10,8,0,1,5126,12,2,3,1,2,Yes,Travel_Rarely,4,4,3,2
105,No,35,Male,Single,1,3,Medical,Research & Development,1,Research Scientist,0,6,6,4,4,1,2859,18,0,3,3,2,No,Travel_Rarely,3,2,1,3
106,No,55,Male,Married,1,2,Life Sciences,Sales,3,Sales Executive,1,24,1,0,0,3,10239,14,1,3,4,3,No,Travel_Rarely,4,1,4,3
107,No,38,Female,Divorced,6,3,Medical,Research & Development,2,Research Scientist,1,17,13,11,9,7,5329,12,3,3,3,1,Yes,Non-Travel,4,2,4,3
110,No,34,Male,Married,1,2,Medical,Research & Development,2,Manufacturing Director,1,5,5,2,3,1,4325,15,0,3,2,3,No,Travel_Rarely,2,1,3,3
112,No,56,Male,Single,7,3,Life Sciences,Research & Development,3,Manufacturing Director,0,37,6,4,2,4,7260,11,0,3,3,1,No,Travel_Rarely,4,4,1,2
113,No,23,Male,Divorced,2,1,Technical Degree,Sales,1,Sales Representative,0,3,0,0,0,3,2322,13,1,3,3,3,No,Travel_Rarely,1,3,3,3
116,No,51,Male,Married,9,4,Life Sciences,Research & Development,1,Laboratory Technician,0,10,4,2,3,3,2075,23,2,4,4,3,No,Travel_Rarely,4,4,2,3
117,No,30,Male,Married,2,3,Life Sciences,Research & Development,2,Healthcare Representative,10,11,11,10,8,1,4152,19,3,3,3,2,No,Travel_Rarely,4,3,1,3
118,Yes,46,Male,Single,9,2,Medical,Sales,3,Sales Executive,4,9,9,8,7,1,9619,16,0,3,3,2,No,Travel_Rarely,4,3,4,3
119,No,40,Male,Married,1,4,Life Sciences,Research & Development,4,Healthcare Representative,11,22,22,3,11,1,13503,22,1,4,3,2,No,Travel_Frequently,2,3,4,2
120,No,51,Male,Single,21,4,Marketing,Sales,2,Sales Executive,1,11,10,7,0,0,5441,22,0,4,2,3,Yes,Travel_Rarely,4,3,4,1
121,No,30,Female,Divorced,4,2,Medical,Sales,2,Sales Executive,2,11,11,8,7,1,5209,12,3,3,4,2,Yes,Travel_Rarely,2,3,2,2
124,No,46,Male,Married,1,3,Medical,Research & Development,3,Healthcare Representative,9,21,10,9,5,2,10673,13,1,3,5,2,Yes,Travel_Frequently,1,3,3,2
125,No,32,Male,Single,6,4,Medical,Sales,2,Sales Executive,5,12,11,8,7,1,5010,16,0,3,0,3,No,Travel_Rarely,3,2,1,3
126,No,54,Female,Married,2,4,Technical Degree,Research & Development,3,Research Director,0,16,4,3,3,9,13549,12,1,3,5,3,No,Travel_Rarely,3,1,1,1
128,No,24,Female,Married,3,2,Other,Sales,2,Sales Executive,0,4,3,2,2,0,4999,21,1,4,2,3,No,Travel_Rarely,3,1,1,2
129,No,28,Male,Married,4,3,Medical,Sales,2,Sales Executive,0,5,5,4,4,1,4221,15,0,3,3,3,No,Non-Travel,3,2,2,4
131,No,58,Male,Single,10,4,Medical,Sales,4,Sales Executive,1,38,37,10,8,0,13872,13,0,3,1,3,No,Travel_Rarely,3,4,3,2
132,No,44,Male,Married,23,3,Medical,Research & Development,2,Laboratory Technician,1,17,3,2,2,4,2042,12,1,3,3,3,No,Non-Travel,2,2,3,4
133,Yes,37,Male,Divorced,6,4,Human Resources,Human Resources,1,Human Resources,0,7,3,2,2,4,2073,22,0,4,3,3,Yes,Travel_Rarely,1,3,4,3
134,No,32,Male,Single,1,1,Life Sciences,Research & Development,1,Research Scientist,0,1,1,0,0,1,2956,13,0,3,2,3,No,Travel_Rarely,1,4,4,3
137,Yes,20,Female,Single,6,3,Life Sciences,Research & Development,1,Laboratory Technician,1,1,1,0,0,1,2926,18,0,3,5,2,Yes,Travel_Frequently,4,4,2,3
138,No,34,Female,Single,6,4,Other,Research & Development,2,Research Scientist,2,16,16,13,10,1,4809,14,0,3,3,3,No,Travel_Rarely,3,1,3,3
139,No,37,Male,Divorced,2,2,Life Sciences,Research & Development,2,Healthcare Representative,0,17,1,0,0,5,5163,14,1,3,2,2,No,Non-Travel,4,3,4,4
140,No,59,Female,Married,2,4,Human Resources,Human Resources,5,Manager,2,30,3,2,2,9,18844,21,1,4,3,2,No,Non-Travel,4,3,4,3
141,No,50,Female,Married,1,3,Life Sciences,Research & Development,5,Research Director,0,28,8,3,7,3,18172,19,0,3,1,3,Yes,Travel_Frequently,2,1,1,2
142,Yes,25,Male,Single,5,3,Marketing,Sales,2,Sales Executive,0,6,6,4,3,1,5744,11,0,3,1,2,Yes,Travel_Rarely,3,3,4,3
143,No,25,Male,Married,7,1,Medical,Research & Development,1,Research Scientist,2,2,2,2,1,1,2889,11,2,3,2,2,No,Travel_Rarely,4,4,3,3
144,No,22,Female,Single,15,3,Medical,Research & Development,1,Laboratory Technician,0,1,0,0,0,1,2871,15,0,3,5,3,No,Travel_Rarely,4,2,3,3
145,No,51,Female,Single,1,4,Medical,Research & Development,3,Healthcare Representative,12,23,13,12,8,3,7484,20,0,4,1,2,No,Travel_Frequently,1,1,3,2
147,Yes,34,Male,Single,7,3,Life Sciences,Research & Development,2,Laboratory Technician,0,9,9,7,6,1,6074,24,0,4,3,1,Yes,Travel_Frequently,3,1,4,3
148,No,54,Female,Single,26,3,Human Resources,Human Resources,4,Manager,4,23,5,3,4,2,17328,12,0,3,3,4,Yes,Non-Travel,4,4,3,3
150,No,24,Male,Married,18,1,Life Sciences,Research & Development,1,Laboratory Technician,1,6,5,3,2,0,2774,12,1,3,2,3,No,Travel_Rarely,3,2,3,3
151,No,34,Female,Divorced,6,4,Life Sciences,Research & Development,2,Research Scientist,0,12,1,0,0,6,4505,15,1,3,3,2,No,Travel_Rarely,2,3,3,3
152,No,37,Male,Single,3,3,Life Sciences,Sales,3,Sales Executive,1,12,5,3,3,2,7428,12,0,3,3,3,No,Travel_Rarely,4,3,1,3
153,No,34,Female,Single,5,3,Medical,Research & Development,3,Manager,5,14,11,10,8,2,11631,12,0,3,6,2,No,Travel_Rarely,1,3,4,3
154,No,36,Female,Married,11,2,Technical Degree,Sales,3,Sales Executive,2,10,9,7,8,0,9738,14,1,3,6,3,No,Travel_Frequently,4,2,3,3
155,No,36,Female,Divorced,3,2,Life Sciences,Research & Development,1,Laboratory Technician,0,7,1,0,0,5,2835,22,1,4,2,3,No,Travel_Rarely,4,1,1,3
158,No,43,Male,Married,26,2,Life Sciences,Sales,4,Manager,4,25,25,12,12,1,16959,12,2,3,3,3,Yes,Travel_Frequently,4,3,4,4
159,No,30,Male,Divorced,23,3,Life Sciences,Research & Development,1,Research Scientist,0,10,10,7,9,1,2613,25,3,4,2,1,No,Travel_Frequently,3,1,3,2
160,No,33,Male,Married,22,2,Marketing,Sales,2,Sales Executive,0,8,7,7,7,0,6146,13,1,3,2,3,No,Non-Travel,2,3,1,4
161,Yes,56,Female,Married,14,4,Life Sciences,Research & Development,1,Research Scientist,4,7,5,4,3,9,4963,18,3,3,2,3,Yes,Travel_Rarely,2,2,1,3
162,No,51,Male,Single,6,3,Life Sciences,Research & Development,5,Research Director,15,23,20,18,15,7,19537,13,0,3,5,3,No,Travel_Rarely,3,1,3,3
163,Yes,31,Male,Married,6,4,Life Sciences,Sales,2,Sales Executive,7,12,7,7,7,4,6172,18,0,3,3,1,Yes,Travel_Rarely,3,2,2,2
164,No,26,Female,Married,6,3,Other,Research & Development,1,Research Scientist,4,5,5,4,3,1,2368,19,0,3,3,2,No,Travel_Rarely,2,3,3,2
165,Yes,58,Female,Married,23,4,Medical,Research & Development,3,Healthcare Representative,15,40,40,10,6,1,10312,12,1,3,3,3,No,Travel_Rarely,4,4,4,2
167,Yes,19,Male,Single,22,1,Marketing,Sales,1,Sales Representative,0,0,0,0,0,1,1675,19,0,3,2,3,Yes,Travel_Rarely,3,4,4,2
169,No,22,Male,Married,2,1,Technical Degree,Research & Development,1,Laboratory Technician,2,3,2,1,1,0,2523,14,1,3,2,3,No,Travel_Rarely,4,3,3,3
170,No,49,Female,Married,20,4,Medical,Research & Development,2,Manufacturing Director,5,16,15,11,11,1,6567,14,0,3,2,3,No,Travel_Rarely,1,3,3,2
171,No,43,Female,Single,28,3,Medical,Research & Development,1,Research Scientist,1,18,3,2,2,4,4739,12,0,3,2,4,No,Travel_Frequently,3,2,4,3
174,No,50,Female,Single,12,3,Marketing,Sales,3,Sales Executive,2,16,2,2,1,4,9208,11,0,3,3,3,No,Travel_Frequently,4,3,4,3
175,Yes,31,Female,Married,20,3,Life Sciences,Sales,2,Sales Executive,2,4,2,2,2,3,4559,11,1,3,2,1,Yes,Travel_Rarely,3,2,3,3
176,No,41,Male,Divorced,9,1,Life Sciences,Sales,3,Sales Executive,0,12,9,7,7,3,8189,13,1,3,2,3,Yes,Travel_Rarely,3,3,3,3
177,No,26,Female,Married,25,1,Life Sciences,Human Resources,1,Human Resources,5,8,8,7,7,1,2942,23,1,4,3,3,No,Travel_Rarely,3,3,4,3
178,No,36,Male,Divorced,6,2,Medical,Research & Development,2,Manufacturing Director,0,7,3,2,1,6,4941,20,2,4,0,3,No,Travel_Rarely,2,2,4,3
179,Yes,51,Male,Single,8,4,Life Sciences,Research & Development,3,Manufacturing Director,0,18,4,2,3,2,10650,15,0,3,2,1,No,Travel_Frequently,4,1,4,3
182,No,39,Female,Married,4,4,Life Sciences,Sales,2,Sales Executive,5,17,15,11,9,4,5902,14,1,3,1,2,No,Travel_Rarely,3,4,3,4
183,No,25,Male,Married,28,3,Life Sciences,Sales,2,Sales Executive,2,6,2,2,2,2,8639,18,0,3,3,2,No,Travel_Rarely,3,1,4,3
184,No,30,Male,Married,9,3,Human Resources,Human Resources,2,Human Resources,4,12,11,9,7,0,6347,19,0,3,2,3,Yes,Travel_Rarely,4,3,4,1
190,Yes,32,Female,Single,9,3,Medical,Research & Development,1,Laboratory Technician,0,10,5,4,4,7,4200,22,0,4,2,3,No,Travel_Rarely,1,1,1,4
192,No,45,Male,Single,29,3,Medical,Research & Development,1,Research Scientist,0,9,6,5,3,5,3452,13,0,3,2,3,No,Travel_Rarely,4,3,2,2
193,No,38,Female,Single,3,5,Technical Degree,Research & Development,2,Research Scientist,2,19,3,2,2,3,4317,20,0,4,2,3,Yes,Travel_Rarely,3,4,2,3
194,No,30,Female,Single,18,3,Life Sciences,Research & Development,1,Research Scientist,0,5,5,4,4,1,2632,14,0,3,4,3,No,Travel_Rarely,3,1,3,2
195,No,32,Male,Divorced,9,2,Medical,Sales,2,Sales Executive,0,9,8,7,7,0,4668,17,3,3,2,1,No,Travel_Frequently,4,4,4,4
197,No,30,Female,Divorced,5,3,Technical Degree,Research & Development,1,Research Scientist,2,8,3,2,2,5,3204,14,1,3,3,3,No,Travel_Rarely,1,4,4,3
198,No,30,Male,Single,2,1,Medical,Research & Development,1,Laboratory Technician,1,6,5,3,2,0,2720,13,0,3,3,2,No,Travel_Rarely,4,2,4,3
199,No,41,Male,Divorced,10,3,Life Sciences,Research & Development,4,Manager,7,21,7,6,7,4,17181,13,1,3,2,2,No,Travel_Frequently,1,4,2,2
200,No,41,Male,Married,9,4,Life Sciences,Research & Development,1,Laboratory Technician,1,7,5,0,4,2,2238,21,1,4,2,3,No,Travel_Rarely,1,3,4,3
201,No,19,Female,Single,3,1,Medical,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,1483,14,0,3,3,3,No,Travel_Rarely,2,2,4,3
202,No,40,Female,Divorced,26,3,Medical,Research & Development,2,Research Scientist,2,20,20,7,13,1,5605,11,1,3,2,3,No,Travel_Frequently,2,2,1,3
204,No,35,Male,Married,1,5,Marketing,Sales,3,Sales Executive,0,10,10,8,6,1,7295,13,2,3,3,3,No,Travel_Rarely,2,3,1,3
205,No,53,Male,Married,6,2,Marketing,Sales,2,Sales Representative,4,13,7,7,5,2,2306,20,1,4,3,3,Yes,Travel_Rarely,3,2,4,1
206,No,45,Male,Divorced,9,3,Life Sciences,Research & Development,2,Laboratory Technician,0,20,17,9,15,8,2348,18,1,3,2,3,No,Travel_Rarely,2,2,3,1
207,No,32,Female,Single,8,3,Marketing,Sales,3,Sales Executive,3,9,9,8,7,1,8998,14,0,3,2,3,No,Travel_Frequently,4,2,4,3
208,No,29,Male,Married,1,1,Technical Degree,Research & Development,2,Manufacturing Director,0,10,10,7,9,1,4319,13,1,3,1,3,No,Non-Travel,3,4,1,3
211,No,51,Male,Married,7,4,Medical,Research & Development,2,Manufacturing Director,0,10,1,0,0,2,6132,17,0,3,2,2,No,Travel_Rarely,3,2,3,3
214,No,58,Female,Married,9,3,Medical,Research & Development,1,Research Scientist,0,9,1,0,0,4,3346,20,1,4,3,2,Yes,Travel_Rarely,2,2,2,2
215,No,40,Male,Married,4,4,Marketing,Sales,3,Sales Executive,2,15,12,11,11,7,10855,11,1,3,2,2,No,Travel_Rarely,4,3,1,2
216,No,34,Female,Married,2,4,Marketing,Sales,1,Sales Representative,1,6,4,3,2,6,2231,18,1,3,3,3,No,Travel_Frequently,3,3,4,3
217,No,22,Male,Married,19,1,Medical,Research & Development,1,Research Scientist,2,2,2,2,2,1,2323,24,2,4,6,3,No,Travel_Rarely,4,3,1,3
218,No,27,Male,Divorced,9,3,Medical,Research & Development,1,Research Scientist,2,6,2,2,2,6,2024,18,1,3,1,3,No,Non-Travel,2,4,4,1
221,No,28,Male,Married,21,3,Medical,Research & Development,1,Research Scientist,0,5,5,2,2,1,2713,11,1,3,2,3,No,Travel_Rarely,4,3,3,1
223,No,57,Male,Divorced,24,2,Life Sciences,Research & Development,3,Healthcare Representative,1,12,5,3,4,3,9439,16,1,3,2,4,Yes,Travel_Rarely,4,3,2,1
224,No,27,Male,Divorced,3,3,Medical,Research & Development,1,Research Scientist,0,1,1,1,1,1,2566,15,1,3,2,2,Yes,Non-Travel,3,3,4,2
226,No,50,Female,Single,11,3,Life Sciences,Research & Development,5,Manager,4,21,5,4,4,3,19926,15,0,3,5,3,No,Travel_Rarely,2,3,2,3
227,No,41,Male,Divorced,14,3,Life Sciences,Research & Development,1,Research Scientist,1,13,9,8,8,4,2451,12,1,3,2,3,No,Travel_Rarely,3,1,1,3
